ID_estudiante,Grupo,Facultad,Seccion,Seccion_area,Genero,Anio_nacimiento,Ciclo_academico,Experiencia_previa_IA,D1_01,D1_02,D1_03,D1_04,D1_05,D1_06,D2_01,D2_02,D2_03,D2_04,D2_05,D2_06,D3_01,D3_02,D3_03,D3_04,D3_05,D3_06,D3_07,D3_08,D4_01,D4_02,D4_03,D4_04,D4_05,D4_06,OBJ_D1_01,OBJ_D1_02,OBJ_D1_03,OBJ_D1_04,OBJ_D1_05,OBJ_D1_06,OBJ_D2_01,OBJ_D2_02,OBJ_D2_03,OBJ_D2_04,OBJ_D2_05,OBJ_D2_06,OBJ_D3_01,OBJ_D3_02,OBJ_D3_03,OBJ_D3_04,OBJ_D3_05,OBJ_D3_06,OBJ_D3_07,OBJ_D3_08,OBJ_D4_01,OBJ_D4_02,OBJ_D4_03,OBJ_D4_04,OBJ_D4_05,OBJ_D4_06,Tiempo,Score_conocimiento,Score_D1,Score_conocimiento_D1,Score_D2,Score_conocimiento_D2,Score_D3,Score_conocimiento_D3,Score_D4,Score_conocimiento_D4,Score_total_autopercepcion
36,Experimental,Ingeniería,2,Engineering/Sciences,Masculino,1999,4,Básica,3,3,3,3,2,3,3,2,2,2,2,1,1,2,1,3,2,2,2,2,3,2,2,1,3,3,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,T0,11,2.83,5,2.0,1,1.88,2,2.33,3,2.23
37,Experimental,Ciencias Sociales,4,Social Sciences/Education,Femenino,2000,4,Básica,3,2,3,3,2,3,2,2,3,2,3,3,2,1,3,2,2,2,4,3,1,1,2,1,1,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,T0,3,2.67,1,2.5,1,2.38,1,1.33,0,2.23
38,Experimental,Ingeniería,2,Engineering/Sciences,Masculino,1998,10,Avanzada,3,2,2,3,3,2,2,3,2,2,2,4,3,3,5,4,3,4,3,4,3,3,4,4,3,3,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,T0,14,2.5,1,2.5,3,3.62,6,3.33,4,3.04
39,Experimental,Ciencias,1,Engineering/Sciences,Masculino,2005,7,Básica,1,1,1,2,1,2,1,1,1,2,2,3,2,2,3,4,3,3,2,3,1,2,1,2,2,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,T0,8,1.33,3,1.67,1,2.75,2,1.5,2,1.88
40,Experimental,Ciencias,1,Engineering/Sciences,Masculino,2003,5,Básica,3,4,4,5,4,3,3,3,3,2,3,2,3,3,2,4,2,2,3,4,3,2,4,3,4,3,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,T0,11,3.83,4,2.67,1,2.88,3,3.17,3,3.12
41,Experimental,Educación,3,Social Sciences/Education,Masculino,2004,5,Avanzada,2,2,1,2,3,1,2,3,2,2,2,2,4,4,3,3,3,3,3,4,2,3,2,1,3,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,T0,6,1.83,0,2.17,2,3.38,4,2.0,0,2.42
42,Experimental,Arte y Humanidades,4,Social Sciences/Education,Masculino,2001,3,Ninguna,3,4,3,5,4,4,3,2,2,3,3,3,4,4,4,4,5,4,4,5,5,3,5,4,3,4,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,T0,16,3.83,4,2.67,2,4.25,7,4.0,3,3.73
43,Experimental,Ciencias Sociales,4,Social Sciences/Education,No binario,2004,4,Básica,1,2,2,2,3,2,1,1,1,1,1,1,1,1,3,2,1,1,2,1,1,1,1,1,1,2,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,T0,6,2.0,2,1.0,2,1.5,2,1.17,0,1.42
44,Experimental,Ciencias,1,Engineering/Sciences,Masculino,2004,6,Básica,2,2,2,2,2,2,3,2,2,3,2,2,3,3,3,4,3,4,2,4,3,3,4,4,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,T0,7,2.0,0,2.33,1,3.25,3,3.17,3,2.73
45,Experimental,Ciencias de la Salud,2,Engineering/Sciences,Femenino,1998,10,Básica,2,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,5,2,5,4,3,4,5,3,1,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,1,0,T0,12,2.67,3,2.83,2,3.0,4,4.0,3,3.12
46,Experimental,Ciencias de la Salud,2,Engineering/Sciences,Femenino,2005,4,Básica,3,2,3,3,2,3,1,1,2,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,T0,10,2.67,3,1.17,1,1.88,3,1.83,3,1.88
47,Experimental,Ciencias,1,Engineering/Sciences,Femenino,2003,3,Básica,3,2,2,3,3,2,3,2,2,2,1,3,3,3,4,3,3,3,4,3,3,3,3,2,2,3,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,T0,10,2.5,3,2.17,2,3.25,4,2.67,1,2.69
48,Experimental,Ciencias,1,Engineering/Sciences,Femenino,2002,6,Intermedia,2,1,2,1,2,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,3,1,2,3,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,T0,7,1.5,1,1.0,1,1.88,3,2.17,2,1.65
49,Experimental,Ingeniería,2,Engineering/Sciences,Masculino,2005,7,Básica,3,3,2,2,2,3,1,2,1,1,1,1,2,2,2,4,2,2,4,3,3,2,2,3,3,2,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,T0,9,2.5,3,1.17,0,2.62,4,2.5,2,2.23
